Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
və	110784	22105.1403	54424	35.0806	6570	8950.9903	6161	9.5021	154910	22392.5656	71143	50.4578
bu	80600	16082.4154	45659	29.4308	9202	12536.8360	8581	13.2345	109153	15778.2952	57521	40.7965
bir	77088	15381.6531	43538	28.0637	9775	13317.4931	8708	13.4304	69102	9988.8391	40774	28.9188
ki	57468	11466.8021	35497	22.8806	7301	9946.9071	6812	10.5062	85098	12301.0945	51346	36.4169
də	49535	9883.9013	32450	20.9166	8728	11891.0568	8043	12.4048	62561	9043.3239	39919	28.3124
da	33975	6779.1571	24158	15.5717	5783	7878.7788	5376	8.2914	43636	6307.6754	30751	21.8100
o	31192	6223.8549	20834	13.4292	2904	3956.4194	2764	4.2629	25462	3680.5855	19152	13.5835
ilə	28259	5638.6225	21113	13.6090	2771	3775.2198	2635	4.0640	54511	7879.6795	38429	27.2556
üçün	25844	5156.7487	19470	12.5500	4039	5502.7473	3710	5.7220	36143	5224.5465	26620	18.8801
kimi	22982	4585.6833	17579	11.3311	3038	4138.9815	2830	4.3647	26069	3768.3287	20164	14.3012
çox	22343	4458.1812	16851	10.8618	4943	6734.3599	4635	7.1486	24541	3547.4531	18221	12.9232
hər	21539	4297.7561	16290	10.5002	3596	4899.2026	3390	5.2284	20323	2937.7323	15830	11.2273
nə	19829	3956.5535	14245	9.1820	5135	6995.9414	4541	7.0036	12556	1814.9962	9031	6.4052
olan	18387	3668.8260	14787	9.5314	1633	2224.8047	1584	2.4430	24200	3498.1608	19544	13.8615
isə	18064	3604.3766	14471	9.3277	1459	1987.7465	1422	2.1932	23847	3447.1339	19229	13.6381
mən	16800	3352.1660	12231	7.8838	4086	5566.7802	3888	5.9965	10498	1517.5079	7802	5.5335
belə	16244	3241.2253	13184	8.4981	2418	3294.2914	2341	3.6105	16787	2426.5961	13904	9.8613
heç	16183	3229.0537	12695	8.1829	3142	4280.6714	3003	4.6315	12083	1746.6230	9885	7.0109
onun	16151	3222.6686	12266	7.9064	902	1228.8879	883	1.3619	16728	2418.0675	13761	9.7599
sonra	16141	3220.6733	12900	8.3151	1953	2660.7738	1911	2.9473	17953	2595.1438	14853	10.5344
öz	15140	3020.9401	11883	7.6595	1254	1708.4538	1196	1.8446	17323	2504.0760	13667	9.6933
daha	14190	2831.3831	11232	7.2399	2080	2833.7990	1975	3.0461	20225	2923.5662	16098	11.4174
görə	13950	2783.4950	11415	7.3579	2158	2940.0665	2064	3.1833	22521	3255.4578	18936	13.4303
amma	13934	2780.3024	11162	7.1948	3226	4395.1133	3175	4.8968	11053	1597.7343	9167	6.5016
var	13341	2661.9790	10808	6.9666	4854	6613.1060	4546	7.0113	13027	1883.0802	10521	7.4620
idi	13232	2640.2298	9035	5.8238	1333	1816.0837	1227	1.8924	9062	1309.9311	6567	4.6576
qədər	12701	2534.2774	10345	6.6682	2173	2960.5026	2016	3.1093	12804	1850.8451	10498	7.4457
azərbaycan	12437	2481.6005	8351	5.3829	1840	2506.8222	1740	2.6836	41339	5975.6392	27070	19.1993
bütün	12201	2434.5105	10055	6.4812	1367	1862.4054	1334	2.0574	17370	2510.8700	13858	9.8287
ya	11480	2290.6468	8354	5.3848	1301	1772.4868	1038	1.6009	6456	933.2283	4820	3.4186
ən	11309	2256.5265	8994	5.7973	2112	2877.3960	1980	3.0538	13498	1951.1642	10831	7.6818
elə	11186	2231.9839	9089	5.8586	3068	4179.8536	2888	4.4542	7745	1119.5560	6487	4.6009
onu	9469	1889.3845	7776	5.0122	1142	1555.8647	1125	1.7351	7782	1124.9044	6871	4.8732
ona	9383	1872.2246	7785	5.0180	1042	1419.6243	1023	1.5778	8134	1175.7868	6973	4.9456
deyil	9222	1840.0997	7828	5.0458	2485	3385.5724	2385	3.6784	9956	1439.1607	8631	6.1215
gün	9209	1837.5057	7636	4.9220	2951	4020.4524	2798	4.3154	12339	1783.6283	10323	7.3215
edir	9037	1803.1860	7749	4.9948	1446	1970.0353	1413	2.1793	13987	2021.8502	11937	8.4663
böyük	8478	1691.6466	7026	4.5288	967	1317.4441	906	1.3973	16068	2322.6631	12608	8.9422
biz	8176	1631.3874	6251	4.0293	934	1272.4848	898	1.3850	11623	1680.1290	8145	5.7768
olaraq	7937	1583.6989	6871	4.4289	683	930.5215	668	1.0303	10912	1577.3525	9678	6.8641
etmək	7623	1521.0453	6652	4.2877	952	1297.0080	928	1.4313	10041	1451.4476	8706	6.1747
mənim	7339	1464.3777	5777	3.7237	1253	1707.0914	1219	1.8801	4085	590.4953	3319	2.3540
həmin	7251	1446.8188	5949	3.8346	305	415.5330	298	0.4596	12172	1759.4881	9957	7.0620
il	7241	1444.8234	5775	3.7224	1200	1634.8841	1136	1.7521	16145	2333.7936	12608	8.9422
başqa	7038	1404.3181	6243	4.0241	1054	1435.9732	1021	1.5747	6633	958.8141	5960	4.2271
artıq	6936	1383.9657	5923	3.8178	1358	1850.1438	1327	2.0466	9282	1341.7326	8066	5.7208
yox	6840	1364.8104	5855	3.7740	1913	2606.2777	1823	2.8116	3546	512.5817	3168	2.2469
baş	6591	1315.1265	5522	3.5594	735	1001.3665	720	1.1105	13846	2001.4684	11225	7.9613
edən	6574	1311.7345	5778	3.7244	661	900.5486	655	1.0102	11174	1615.2252	9865	6.9967
onların	6528	1302.5559	5649	3.6412	310	422.3451	306	0.4719	8417	1216.6950	7368	5.2257
onlar	6331	1263.2478	5176	3.3363	422	574.9342	406	0.6262	6123	885.0925	5247	3.7214
sən	6307	1258.4590	5049	3.2545	2004	2730.2564	1909	2.9443	1552	224.3449	1311	0.9298
çünki	6026	1202.3900	5309	3.4221	672	915.5351	659	1.0164	6358	919.0622	5800	4.1136
mənə	5885	1174.2558	4848	3.1249	1422	1937.3376	1379	2.1268	2985	431.4880	2482	1.7603
necə	5862	1169.6665	5133	3.3086	1246	1697.5546	1212	1.8693	4270	617.2375	3874	2.7476
