Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
yn	106368	52287.4018	28928	70.3981	0	0	0	0	94339	53599.3900	46396	72.9474
i	77917	38301.7212	26603	64.7401	0	0	0	0	55076	31291.8306	33734	53.0392
o	53013	26059.6423	22971	55.9014	0	0	0	0	44680	25385.2675	29632	46.5897
a	49209	24189.7070	22352	54.3950	0	0	0	0	35810	20345.7123	25396	39.9296
mae	29260	14383.3613	16299	39.6647	0	0	0	0	30545	17354.3642	24700	38.8353
ar	27475	13505.9075	16443	40.0151	0	0	0	0	28473	16177.1424	21875	34.3936
ac	18856	9269.0588	12998	31.6315	0	0	0	0	16872	9585.9497	14616	22.9804
yr	18020	8858.1056	12038	29.2952	0	0	0	0	18892	10733.6274	15613	24.5480
ei	17941	8819.2715	10927	26.5916	0	0	0	0	20124	11433.5972	15734	24.7382
wedi	17074	8393.0797	11320	27.5479	0	0	0	0	22366	12707.4058	18420	28.9614
am	16559	8139.9207	11601	28.2318	0	0	0	0	11679	6635.5089	10292	16.1819
ond	14985	7366.1883	11196	27.2462	0	0	0	0	7624	4331.6311	7206	11.3298
bod	12249	6021.2506	8604	20.9384	0	0	0	0	13002	7387.1810	10883	17.1111
un	9725	4780.5259	7318	17.8088	0	0	0	0	5654	3212.3613	5163	8.1177
gan	9255	4549.4877	7255	17.6555	0	0	0	0	10193	5791.2272	9095	14.2999
eu	9115	4480.6677	6272	15.2633	0	0	0	0	11972	6801.9790	10001	15.7243
ni	9005	4426.5950	5635	13.7131	0	0	0	0	4918	2794.1975	3879	6.0989
fel	8527	4191.6241	6776	16.4898	0	0	0	0	4458	2532.8452	4073	6.4039
oedd	8492	4174.4191	5618	13.6718	0	0	0	0	5175	2940.2139	4593	7.2215
sy	8117	3990.0801	6215	15.1246	0	0	0	0	7160	4068.0062	6421	10.0956
fod	7965	3915.3613	6116	14.8837	0	0	0	0	8682	4932.7415	7826	12.3046
mewn	7804	3836.2184	6359	15.4750	0	0	0	0	6797	3861.7651	6262	9.8456
roedd	7747	3808.1989	5141	12.5110	0	0	0	0	6467	3674.2732	5920	9.3079
fy	7584	3728.0729	5135	12.4963	0	0	0	0	1419	806.2152	1109	1.7437
yw	7407	3641.0648	5485	13.3481	0	0	0	0	4841	2750.4494	4483	7.0485
na	7322	3599.2813	5796	14.1049	0	0	0	0	3941	2239.1079	3653	5.7435
hyn	6628	3258.1312	5446	13.2532	0	0	0	0	4398	2498.7557	4106	6.4558
ddim	6406	3149.0025	5095	12.3990	0	0	0	0	2485	1411.8709	2312	3.6351
cael	6300	3096.8960	5136	12.4988	0	0	0	0	8618	4896.3795	7852	12.3455
gyda	6150	3023.1604	4996	12.1581	0	0	0	0	6190	3516.8936	5691	8.9478
iawn	6039	2968.5960	4903	11.9318	0	0	0	0	2623	1490.2766	2453	3.8568
nhw	5949	2924.3546	3991	9.7124	0	0	0	0	5286	3003.2794	4576	7.1947
dwi	5924	2912.0654	3928	9.5590	0	0	0	0	883	501.6829	778	1.2232
sydd	5775	2838.8213	4714	11.4718	0	0	0	0	5005	2843.6272	4647	7.3064
wrth	5409	2658.9064	4548	11.0678	0	0	0	0	4419	2510.6870	4193	6.5926
mi	5398	2653.4991	3836	9.3352	0	0	0	0	905	514.1823	799	1.2562
â	5212	2562.0670	4261	10.3694	0	0	0	0	6931	3937.8981	6287	9.8849
neu	4992	2453.9214	4017	9.7756	0	0	0	0	2200	1249.9460	1948	3.0628
hynny	4811	2364.9471	4058	9.8754	0	0	0	0	2955	1678.9048	2826	4.4433
hi	4760	2339.8770	3445	8.3836	0	0	0	0	2202	1251.0823	2021	3.1776
dim	4565	2244.0207	3833	9.3278	0	0	0	0	1537	873.2577	1491	2.3443
