Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
ਦੇ	100180	21148.8392	38425	28.3022	0	0	0	0	98890	24459.3177	61744	36.7747
ਹੈ	95570	20175.6295	32902	24.2342	0	0	0	0	96634	23901.3218	63156	37.6157
ਦੀ	85376	18023.5905	36514	26.8946	0	0	0	0	81426	20139.7958	55614	33.1237
ਨੂੰ	84176	17770.2604	36414	26.8210	0	0	0	0	81344	20119.5140	56986	33.9408
ਤੇ	68726	14508.6357	32523	23.9550	0	0	0	0	54591	13502.4635	40535	24.1426
ਦਾ	67242	14195.3508	33072	24.3594	0	0	0	0	57781	14291.4737	44253	26.3571
ਸੀ	59528	12566.8607	24466	18.0206	0	0	0	0	33312	8239.3447	25764	15.3450
ਕੇ	45346	9572.9214	26467	19.4944	0	0	0	0	26068	6447.6236	21630	12.8828
ਨਹੀਂ	41587	8779.3649	24185	17.8136	0	0	0	0	26155	6469.1420	22400	13.3414
ਹੀ	38788	8188.4725	22459	16.5423	0	0	0	0	28411	7027.1380	24445	14.5594
ਤਾਂ	38345	8094.9515	22867	16.8428	0	0	0	0	24470	6052.3764	20808	12.3932
ਅਤੇ	34985	7385.6273	15734	11.5890	0	0	0	0	52632	13017.9271	38639	23.0134
ਨਾਲ	33933	7163.5412	20569	15.1502	0	0	0	0	32552	8051.3673	26530	15.8013
ਤੋਂ	33153	6998.8767	19896	14.6545	0	0	0	0	37736	9333.5708	30468	18.1467
ਹਨ	30368	6410.9398	12846	9.4618	0	0	0	0	37743	9335.3021	28424	16.9293
ਇਸ	29628	6254.7196	16552	12.1915	0	0	0	0	38700	9572.0052	31138	18.5458
ਵਿੱਚ	26664	5628.9943	11032	8.1257	0	0	0	0	29444	7282.6388	18987	11.3087
ਲਈ	24751	5225.1439	15760	11.6081	0	0	0	0	29977	7414.4703	24073	14.3379
ਹੋ	23031	4862.0375	16373	12.0596	0	0	0	0	17944	4438.2445	15503	9.2336
ਕਰ	19581	4133.7135	14192	10.4532	0	0	0	0	15399	3808.7677	13864	8.2574
ਗਿਆ	19129	4038.2925	13432	9.8934	0	0	0	0	14405	3562.9131	12850	7.6535
ਕੋਈ	17839	3765.9627	13022	9.5914	0	0	0	0	10744	2657.4063	9462	5.6356
