Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
و	677999	45665.1609	189373	50.8967	217290	17737.7521	168777	17.9501	648455	42955.0857	214149	69.7904
به	395916	26666.0686	159661	42.9112	223683	18259.6236	190419	20.2518	449226	29757.7185	197006	64.2035
که	389411	26227.9383	156779	42.1366	238660	19482.2216	205382	21.8432	254061	16829.5595	131834	42.9642
در	353495	23808.8936	143173	38.4798	95435	7790.5213	83940	8.9274	514637	34090.6870	211265	68.8505
از	327594	22064.3876	148237	39.8408	209766	17123.5552	183893	19.5578	360388	23872.8939	178068	58.0317
می	308234	20760.4365	123957	33.3152	159805	13045.1538	124898	13.2834	146398	9697.7256	79092	25.7758
را	252337	16995.6146	120545	32.3982	45652	3726.6504	39132	4.1618	226520	15005.1831	132643	43.2279
این	195944	13197.3857	101024	27.1517	134811	11004.8511	123787	13.1652	137915	9135.7930	81917	26.6965
است	177657	11965.7042	94414	25.3751	34523	2818.1712	30877	3.2839	221622	14680.7288	134654	43.8833
با	152773	10289.6960	92681	24.9094	103161	8421.2078	94589	10.0599	189397	12546.0739	122112	39.7959
های	102305	6890.5327	62569	16.8163	34627	2826.6609	32312	3.4365	92585	6133.0341	59713	19.4603
هم	94971	6396.5669	59132	15.8926	105820	8638.2665	95900	10.1993	51891	3437.3740	37396	12.1872
آن	89693	6041.0786	55796	14.9960	9629	786.0316	8831	0.9392	81855	5422.2553	59141	19.2738
برای	79379	5346.4014	54992	14.7799	28543	2330.0136	26667	2.8361	59383	3933.6606	45917	14.9642
بود	76090	5124.8779	46034	12.3723	57641	4705.3328	51173	5.4425	57337	3798.1290	42550	13.8669
من	69985	4713.6888	44457	11.9485	134322	10964.9332	121178	12.8878	21845	1447.0609	13951	4.5466
یک	67311	4533.5873	44045	11.8377	28421	2320.0545	25712	2.7346	30708	2034.1655	23607	7.6934
خود	58752	3957.1143	40268	10.8226	11015	899.1732	10321	1.0977	62421	4134.9044	49099	16.0012
تا	57483	3871.6435	44241	11.8904	60842	4966.6359	56747	6.0353	47925	3174.6574	39796	12.9694
ای	56691	3818.3001	42221	11.3475	36828	3006.3323	34352	3.6535	38967	2581.2598	31232	10.1784
ی	55477	3736.5337	31489	8.4631	34678	2830.8241	31497	3.3498	12720	842.6008	7147	2.3292
شده	53846	3626.6812	41404	11.1279	37651	3073.5151	36016	3.8304	73468	4866.6819	58436	19.0441
بر	48986	3299.3464	37299	10.0246	16863	1376.5554	15698	1.6695	55595	3682.7351	44566	14.5239
ما	47852	3222.9683	30834	8.2871	46043	3758.5684	42248	4.4932	40294	2669.1632	26565	8.6574
نمی	44325	2985.4148	32974	8.8622	32242	2631.9693	30268	3.2191	17996	1192.0946	14800	4.8233
شود	42275	2847.3415	31318	8.4172	6250	510.1981	5721	0.6085	59668	3952.5396	47312	15.4188
یا	40898	2754.5966	27297	7.3365	27541	2248.2187	22959	2.4418	13346	884.0684	10096	3.2902
او	40010	2694.7873	24823	6.6715	3930	320.8126	3460	0.3680	34184	2264.4234	24753	8.0669
شد	39544	2663.4009	30493	8.1954	38840	3170.5752	36613	3.8939	53345	3533.6902	43415	14.1488
کند	38879	2618.6112	28460	7.6490	4553	371.6691	4241	0.4510	35719	2366.1051	28949	9.4344
هر	38314	2580.5569	30252	8.1307	29479	2406.4209	27629	2.9385	24571	1627.6371	20480	6.6744
همه	37250	2508.8934	28737	7.7235	41915	3421.5927	39302	4.1799	19604	1298.6121	16330	5.3219
اما	36988	2491.2470	30491	8.1949	17042	1391.1674	16664	1.7723	38974	2581.7235	34061	11.1004
رو	36194	2437.7688	21482	5.7736	141080	11516.6003	125915	13.3916	6391	423.3539	5460	1.7794
کرد	35973	2422.8839	27961	7.5149	19183	1565.9409	18175	1.9330	46347	3070.1272	39494	12.8710
ایران	35000	2357.3495	23444	6.3009	12281	1002.5189	11590	1.2326	47480	3145.1797	33776	11.0075
چه	33751	2273.2258	24916	6.6965	41532	3390.3278	38675	4.1132	16747	1109.3581	13152	4.2862
کرده	33050	2226.0115	27043	7.2682	16494	1346.4333	15877	1.6886	34926	2313.5751	30507	9.9421
اند	32134	2164.3163	23190	6.2326	4138	337.7920	3863	0.4108	37385	2476.4646	29718	9.6850
سال	29724	2001.9959	22169	5.9582	13009	1061.9468	11885	1.2640	48915	3240.2372	36014	11.7368
بی	29065	1957.6104	22559	6.0631	25653	2094.0980	22589	2.4024	14501	960.5781	10879	3.5454
تو	29060	1957.2736	20779	5.5847	128531	10492.2041	113929	12.1168	2427	160.7698	1747	0.5693
اگر	28414	1913.7637	22828	6.1354	9521	777.2154	8894	0.9459	19671	1303.0503	16617	5.4154
نه	27509	1852.8094	19277	5.1810	30399	2481.5221	24576	2.6138	12062	799.0134	9253	3.0155
باشد	27462	1849.6438	21521	5.7841	5080	414.6890	4701	0.5000	23023	1525.0942	19429	6.3318
مردم	26780	1803.7092	18404	4.9463	9745	795.5009	9172	0.9755	29899	1980.5755	21837	7.1166
دست	26333	1773.6024	21679	5.8265	16847	1375.2493	15656	1.6651	20044	1327.7587	17700	5.7684
باید	26225	1766.3283	20710	5.5661	33261	2715.1520	31751	3.3768	13429	889.5665	11045	3.5995
دارد	26202	1764.7792	21815	5.8631	3933	321.0575	3694	0.3929	31244	2069.6713	27434	8.9406
دیگر	26166	1762.3545	21385	5.7475	3432	280.1600	3340	0.3552	14950	990.3209	13487	4.3954
نیست	25811	1738.4443	21355	5.7395	27226	2222.5047	25789	2.7428	8946	592.6027	8042	2.6209
کنند	25541	1720.2590	19492	5.2388	3600	293.8741	3351	0.3564	25941	1718.3889	21225	6.9172
کار	24368	1641.2541	18795	5.0514	22078	1802.2647	20756	2.2075	16863	1117.0422	14049	4.5785
دو	23591	1588.9209	19084	5.1291	20514	1674.5927	19324	2.0552	23016	1524.6305	19601	6.3879
شما	22993	1548.6439	15245	4.0973	20441	1668.6336	19217	2.0438	11450	758.4732	7869	2.5645
کنم	22175	1493.5493	16872	4.5346	53757	4388.2753	49990	5.3166	5434	359.9601	4528	1.4757
بعد	22095	1488.1611	17809	4.7864	36045	2942.4146	33970	3.6128	12684	840.2161	11113	3.6217
روز	22083	1487.3529	17435	4.6859	23915	1952.2221	22072	2.3474	28460	1885.2530	23867	7.7782
نیز	21954	1478.6643	16904	4.5432	1543	125.9577	1511	0.1607	20278	1343.2593	17816	5.8062
آنها	21270	1432.5950	15714	4.2234	1198	97.7948	1125	0.1196	25861	1713.0895	20836	6.7904
گفت	20719	1395.4836	16429	4.4155	10150	828.5618	9369	0.9964	41450	2745.7392	37767	12.3081
ِ	20497	1380.5312	7749	2.0827	8408	686.3593	6393	0.6799	237	15.6994	165	0.0538
پس	19773	1331.7678	17062	4.5857	12234	998.6822	11949	1.2708	22402	1483.9578	20008	6.5205
ولی	19335	1302.2672	15937	4.2833	31495	2570.9904	30893	3.2856	6416	425.0100	5730	1.8674
سر	18514	1246.9706	15993	4.2984	22558	1841.4479	21649	2.3025	9473	627.5124	8733	2.8461
ام	18402	1239.4270	13443	3.6130	20542	1676.8784	19070	2.0282	4412	292.2606	3496	1.1393
یکی	18363	1236.8003	15298	4.1116	27938	2280.6264	25784	2.7422	8624	571.2727	7935	2.5860
همین	18271	1230.6038	15535	4.1753	14733	1202.6798	14336	1.5247	7804	516.9541	7200	2.3465
هیچ	18047	1215.5168	14934	4.0137	14842	1211.5777	14095	1.4991	6640	439.8482	5937	1.9348
زندگی	17839	1201.5074	13027	3.5012	14890	1215.4960	14016	1.4907	4169	276.1637	3445	1.1227
قرار	17822	1200.3624	15335	4.1215	5462	445.8723	5342	0.5681	29448	1950.7003	26174	8.5300
روی	17679	1190.7309	14642	3.9352	8678	708.3999	8335	0.8865	6710	444.4852	6038	1.9678
چند	17552	1182.1771	15106	4.0600	12728	1039.0083	12277	1.3057	12523	829.5511	11491	3.7449
پیش	17253	1162.0386	14995	4.0301	10741	876.8061	10404	1.1065	12206	808.5523	11131	3.6276
راه	16272	1095.9655	13573	3.6479	9845	803.6641	9337	0.9930	14219	941.8978	12150	3.9596
مورد	16208	1091.6549	13629	3.6630	5103	416.5666	4944	0.5258	25197	1669.1047	21876	7.1293
کردن	15518	1045.1814	13097	3.5200	16986	1386.5961	16221	1.7252	9304	616.3174	8285	2.7001
بوده	15280	1029.1515	12547	3.3722	7432	606.6868	7017	0.7463	16650	1102.9326	14677	4.7832
تنها	15232	1025.9185	13269	3.5662	7558	616.9724	7198	0.7655	12593	834.1880	11600	3.7804
خیلی	15155	1020.7324	11872	3.1908	41887	3419.3070	38536	4.0985	2938	194.6196	2475	0.8066
هستند	15112	1017.8362	12643	3.3980	2963	241.8747	2851	0.3032	17417	1153.7404	15483	5.0459
چون	14987	1009.4171	12844	3.4520	8885	725.2977	8583	0.9128	7736	512.4497	7048	2.2969
خواهد	14784	995.7444	12009	3.2276	3223	263.0990	3084	0.3280	22200	1470.5768	18963	6.1800
داشته	14551	980.0512	12760	3.4294	8492	693.2164	8273	0.8799	16234	1075.3759	14774	4.8148
همان	14460	973.9221	12264	3.2961	1198	97.7948	1138	0.1210	7677	508.5414	6944	2.2630
اسلامی	14405	970.2177	10564	2.8392	2074	169.3041	1987	0.2113	18466	1223.2285	14759	4.8099
وقتی	14393	969.4095	12100	3.2521	17033	1390.4327	16245	1.7277	3754	248.6732	3327	1.0843
اینکه	14386	968.9380	12062	3.2418	11872	969.1315	11507	1.2238	7662	507.5477	6963	2.2692
حال	14141	952.4366	12651	3.4001	16662	1360.1474	16128	1.7153	17709	1173.0831	16251	5.2961
تر	14070	947.6545	11408	3.0661	8919	728.0731	8300	0.8827	9440	625.3264	8048	2.6228
نظر	14014	943.8828	12076	3.2456	5951	485.7902	5686	0.6047	18647	1235.2183	16505	5.3789
فکر	13952	939.7069	11642	3.1290	17381	1418.8406	16580	1.7633	3954	261.9217	3590	1.1700
وجود	13798	929.3345	11632	3.1263	3455	282.0375	3356	0.3569	18529	1227.4017	16270	5.3023
بودند	13518	910.4757	10332	2.7769	953	77.7950	907	0.0965	12354	818.3561	10416	3.3945
کشور	13355	899.4972	10513	2.8255	2351	191.9161	2259	0.2403	31578	2091.7962	25416	8.2830
کسی	13264	893.3681	10956	2.9446	15254	1245.2100	14507	1.5429	3633	240.6579	3212	1.0468
باز	13233	891.2802	11574	3.1107	17274	1410.1060	16427	1.7471	5692	377.0506	5241	1.7080
حتی	13221	890.4720	11286	3.0333	9075	740.8077	8893	0.9458	7200	476.9438	6575	2.1428
داد	13193	888.5861	11755	3.1593	8252	673.6248	7956	0.8462	18850	1248.6655	17600	5.7358
چرا	13120	883.6693	10935	2.9389	28588	2333.6870	26801	2.8504	7475	495.1604	6588	2.1470
تمام	13026	877.3381	11340	3.0478	6348	518.1980	6159	0.6550	8933	591.7416	8156	2.6580
داشت	12971	873.6337	11389	3.0610	6358	519.0143	6163	0.6555	16257	1076.8994	15104	4.9223
داده	12956	872.6234	11655	3.1324	5782	471.9945	5647	0.6006	17631	1167.9162	16460	5.3643
کردم	12918	870.0640	9686	2.6033	28961	2364.1357	27436	2.9179	2563	169.7788	2055	0.6697
فقط	12831	864.2043	11284	3.0327	21604	1763.5712	20912	2.2241	5259	348.3677	4845	1.5790
بزرگ	12784	861.0388	11179	3.0045	4219	344.4041	4010	0.4265	8152	540.0064	7299	2.3787
سیاسی	12530	843.9311	9206	2.4742	1223	99.8356	1169	0.1243	11515	762.7789	9152	2.9826
جامعه	12213	822.5803	8323	2.2369	1358	110.8558	1302	0.1385	12636	837.0364	9744	3.1755
دولت	12192	821.1659	8536	2.2942	1956	159.6716	1852	0.1970	32469	2150.8180	24015	7.8264
بار	12105	815.3062	10524	2.8285	11117	907.4996	10502	1.1169	9270	614.0652	8369	2.7274
دهد	12035	810.5915	10636	2.8586	1202	98.1213	1150	0.1223	15462	1024.2369	14178	4.6206
شدن	11594	780.8889	10032	2.6962	9615	784.8888	9245	0.9832	11342	751.3190	10222	3.3313
کنیم	11494	774.1536	8832	2.3737	10636	868.2348	10066	1.0706	5271	349.1626	4276	1.3935
کردند	11373	766.0039	9122	2.4517	1558	127.1822	1482	0.1576	13621	902.2850	11651	3.7970
دارند	11084	746.5389	9731	2.6153	1803	147.1820	1735	0.1845	12173	806.3663	11101	3.6178
بیشتر	11072	745.7307	9570	2.5721	9244	754.6034	8839	0.9401	5261	348.5002	4815	1.5692
گرفته	11037	743.3733	10101	2.7148	6535	533.4632	6392	0.6798	14391	953.2915	13540	4.4126
چیزی	10892	733.6072	9407	2.5283	11677	953.2134	11346	1.2067	1739	115.1952	1637	0.5335
