Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
na	262832	49129.2949	111187	65.3395	30929	27309.8930	26329	21.3016	347190	49870.8091	173266	75.9902
ya	233964	43733.2073	100529	59.0763	19855	17531.6992	16911	13.6819	337296	48449.6224	160399	70.3470
wa	165853	31001.7081	82985	48.7665	11547	10195.8464	10221	8.2694	244112	35064.5553	136483	59.8581
kwa	118570	22163.4371	72116	42.3793	12877	11370.2186	11830	9.5711	167741	24094.5286	113924	49.9643
ni	73436	13726.8632	50194	29.4967	19176	16932.1513	17439	14.1091	81931	11768.6721	65890	28.8977
katika	60180	11249.0144	43546	25.5900	1064	939.4978	1011	0.8180	88231	12673.6120	71236	31.2424
kuwa	49458	9244.8281	37311	21.9260	2499	2206.5835	2375	1.9215	69437	9974.0182	58029	25.4501
za	47925	8958.2755	34251	20.1278	7057	6231.2365	6579	5.3228	72279	10382.2466	55853	24.4957
la	41626	7780.8487	30668	18.0222	3500	3090.4531	3246	2.6262	60722	8722.1846	47661	20.9029
kama	32890	6147.8911	25730	15.1204	9036	7978.6670	8575	6.9376	31796	4567.2175	27970	12.2670
hiyo	25836	4829.3376	21277	12.5035	3181	2808.7804	3087	2.4976	49499	7110.0987	42198	18.5070
cha	25410	4749.7085	19834	11.6555	1978	1746.5475	1866	1.5097	39264	5639.9304	32330	14.1791
yake	19051	3561.0664	15959	9.3784	1679	1482.5345	1629	1.3180	20742	2979.4070	18934	8.3040
kwamba	18763	3507.2326	15196	8.9300	541	477.6958	526	0.4256	22896	3288.8103	20623	9.0447
kwenye	18263	3413.7712	15144	8.8994	3137	2769.9290	3052	2.4692	22310	3204.6365	20144	8.8347
watu	17379	3248.5314	13830	8.1273	3798	3353.5832	3663	2.9636	18577	2668.4237	16547	7.2571
lakini	17001	3177.8746	15200	8.9323	2368	2090.9123	2346	1.8980	21781	3128.6503	20774	9.1110
au	15406	2879.7327	12066	7.0906	3751	3312.0828	3637	2.9425	12307	1767.7930	10630	4.6621
wakati	15202	2841.6005	13592	7.9874	1521	1343.0226	1482	1.1990	21553	3095.9001	20312	8.9083
alisema	15027	2808.8890	14022	8.2401	114	100.6605	114	0.0922	57077	8198.6122	55027	24.1335
