Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
không	229146	13995.5557	136266	33.8536	33561	2761.1371	29654	3.5384	144122	8205.0860	94620	33.2678
là	216181	13203.6921	122848	30.5201	136521	11231.8821	119473	14.2558	172400	9814.9959	112467	39.5427
có	204944	12517.3695	120644	29.9725	136117	11198.6442	120789	14.4128	197588	11248.9873	123004	43.2475
của	179283	10950.0720	103321	25.6689	58637	4824.1946	54311	6.4805	208006	11842.0999	129167	45.4143
một	178102	10877.9401	106900	26.5580	14288	1175.5051	13072	1.5598	138065	7860.2518	93985	33.0446
và	144703	8838.0286	83173	20.6633	28050	2307.7350	26575	3.1710	211822	12059.3507	135577	47.6681
người	143700	8776.7683	88646	22.0230	25341	2084.8597	22825	2.7235	123880	7052.6780	80916	28.4496
trong	110350	6739.8496	77459	19.2438	22079	1816.4878	21339	2.5462	140529	8000.5311	101611	35.7258
cho	106149	6483.2650	75476	18.7511	76330	6279.8365	71580	8.5411	132730	7556.5221	96365	33.8814
được	103919	6347.0632	72654	18.0500	22311	1835.5749	20914	2.4955	135618	7720.9403	96340	33.8726
như	100168	6117.9633	73559	18.2748	41980	3453.7867	40007	4.7737	67429	3838.8362	54948	19.3194
những	99509	6077.7135	57447	14.2720	10282	845.9227	9489	1.1322	106804	6080.5152	72733	25.5725
tôi	95745	5847.8196	42847	10.6448	20331	1672.6760	15460	1.8447	78178	4450.7932	33553	11.7970
lại	94716	5784.9714	71870	17.8552	56301	4632.0068	52787	6.2987	57686	3284.1523	47071	16.5499
đã	94144	5750.0353	67277	16.7142	30222	2486.4302	28891	3.4473	117849	6709.3239	87896	30.9037
cũng	90243	5511.7738	67005	16.6466	58629	4823.5364	54647	6.5206	75557	4301.5757	60538	21.2848
ra	86875	5306.0664	67201	16.6953	44294	3644.1645	42164	5.0311	69838	3975.9842	57801	20.3225
với	81731	4991.8862	59257	14.7217	25664	2111.4336	24358	2.9065	123385	7024.4969	90687	31.8850
ta	79501	4855.6845	49652	12.3354	47815	3933.8449	39278	4.6867	17452	993.5691	13680	4.8098
anh	78685	4805.8456	43346	10.7688	62252	5121.6086	49393	5.8937	54732	3115.9765	31934	11.2278
mà	77170	4713.3139	58080	14.4293	125375	10314.8763	114106	13.6154	41153	2342.9033	34894	12.2685
này	77012	4703.6637	60603	15.0561	48599	3998.3463	46469	5.5448	78500	4469.1251	65556	23.0491
đi	76007	4642.2813	56955	14.1498	122799	10102.9431	105884	12.6343	41217	2346.5469	32253	11.3400
nói	73384	4482.0763	56843	14.1220	36441	2998.0810	33281	3.9712	31048	1767.6102	25853	9.0898
mình	71417	4361.9378	47143	11.7121	76481	6292.2596	64218	7.6626	38895	2214.3519	29015	10.2015
các	70841	4326.7574	41298	10.2600	20601	1694.8895	18545	2.2128	149882	8533.0117	91575	32.1972
làm	70230	4289.4394	53304	13.2427	55411	4558.7845	50694	6.0489	60227	3428.8153	46235	16.2559
đến	69680	4255.8470	54181	13.4606	25607	2106.7441	24205	2.8882	71134	4049.7675	56575	19.8914
thì	69214	4227.3851	49351	12.2607	71326	5868.1465	64409	7.6854	48183	2743.1319	37037	13.0220
đó	68148	4162.2770	52135	12.9523	50772	4177.1238	46418	5.5387	65976	3756.1147	55138	19.3862
phải	67032	4094.1151	51068	12.6872	38557	3172.1690	36722	4.3817	58242	3315.8062	45602	16.0334
thể	64796	3957.5468	48512	12.0522	14713	1210.4708	13980	1.6681	62805	3575.5848	49722	17.4820
ở	64465	3937.3303	47793	11.8736	34118	2806.9627	31573	3.7674	74921	4265.3672	56598	19.8995
để	64228	3922.8551	49095	12.1971	31678	2606.2185	30270	3.6119	83742	4767.5602	66105	23.2421
về	61752	3771.6284	47058	11.6910	27728	2281.2434	25984	3.1005	68958	3925.8845	55024	19.3461
khi	60728	3709.0855	47335	11.7598	20282	1668.6446	19499	2.3267	82335	4687.4576	66333	23.3223
nhưng	60228	3678.5470	50435	12.5300	29873	2457.7172	29294	3.4954	52778	3004.7323	45778	16.0953
vào	59706	3646.6648	46973	11.6699	25328	2083.7901	23872	2.8485	62396	3552.2998	51119	17.9731
con	58895	3597.1313	37891	9.4136	46478	3823.8470	40316	4.8106	41735	2376.0374	27695	9.7374
thế	57882	3535.2603	45455	11.2927	65945	5425.4398	61985	7.3962	39811	2266.5012	33593	11.8111
cái	57270	3497.8811	40613	10.0898	80785	6646.3591	72619	8.6651	15801	899.5751	12655	4.4494
chỉ	56435	3446.8818	45969	11.4204	25642	2109.6236	24702	2.9475	52193	2971.4274	43805	15.4016
còn	55994	3419.9469	45562	11.3193	40529	3334.4097	38757	4.6246	48088	2737.7234	41070	14.4400
sự	49372	3015.4948	35755	8.8829	8696	715.4390	8308	0.9913	52163	2969.7194	41905	14.7335
nhà	48430	2957.9603	33617	8.3517	28033	2306.3364	26127	3.1175	61781	3517.2869	44907	15.7890
gì	48035	2933.8348	39920	9.9176	41745	3434.4527	39143	4.6706	18222	1037.4063	15822	5.5629
